Province,Colour,Population,Population (1977) (People)
Adrar,#e6ab02,399714,137491
Ain Defla,#7570b3,766013,391437
Ain Temouchent,#1b9e77,371239,219263
Alger,#66a61e,609499,1587888
Annaba,#e7298a,1119791,350032
Batna,#7570b3,270061,513500
Bechar,#7570b3,912577,126500
Bejaia,#d95f02,721356,511600
Biskra,#d95f02,1002937,329912
Blida,#e7298a,628475,500994
Bordj Bou Arreridj,#e6ab02,695583,309303
Bouira,#7570b3,802083,374267
Boumerdes,#1b9e77,1002088,439647
Chlef,#e7298a,938475,429807
Constantine,#7570b3,1092184,478339
Djelfa,#1b9e77,228624,332535
El Bayadh,#d95f02,2988145,114794
El Oued,#7570b3,647548,259947
El Tarf,#d95f02,408414,193497
Ghardaia,#66a61e,363598,162486
Guelma,#e6ab02,482430,276998
Illizi,#66a61e,52333,12078
Jijel,#e7298a,636948,342535
Khenchela,#1b9e77,386683,189026
Laghouat,#e7298a,455602,148418
M'Sila,#e7298a,784073,407663
Mascara,#1b9e77,819932,475847
Medea,#d95f02,766886,378655
Mila,#1b9e77,737118,360918
Mostaganem,#d95f02,990591,416723
Naama,#66a61e,192891,82555
Oran,#66a61e,1454078,691660
Ouargla,#e7298a,558558,197332
Oum el Bouaghi,#66a61e,621612,305717
Relizane,#66a61e,726180,368512
Saida,#e7298a,330641,143786
Setif,#66a61e,1489979,686540
Sidi Bel Abbes,#e6ab02,604744,321890
Skikda,#d95f02,898680,466932
Souk Ahras,#1b9e77,438127,225669
Tamanghasset,#1b9e77,176637,42096
Tebessa,#e6ab02,648703,306814
Tiaret,#7570b3,846823,407330
Tindouf,#1b9e77,49149,7417
Tipaza,#d95f02,591010,450598
Tissemsilt,#e6ab02,294476,170269
Tizi Ouzou,#e6ab02,1127607,701976
Tlemcen,#7570b3,949135,535807
