Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Covid Cases (cases),Population (people)
Bjelovarsko-bilogorska,BB,2,2644,21431,102295
Brodsko-posavska,SP,0,2028,29941,130782
Dubrovačko-neretvanska,DN,2,1772,37304,115862
Grad Zagreb,GZ,2,640,242426,769944
Istarska,IS,1,2813,27607,195794
Karlovačka,KA,1,3622,27264,112596
Koprivničko-križevačka,KK,1,1748,23441,101661
Krapinsko-zagorska,KZ,4,1224,28472,120942
Ličko-senjska,LS,3,5355,10209,42893
Međimurska,ME,5,732,37318,105863
Osječko-baranjska,OB,3,4147,56661,259481
Požeško-slavonska,PS,4,1822,12229,64420
Primorsko-goranska,PG,0,3572,96969,266503
Šibensko-kninska,SB,5,2926,30932,96624
Sisačko-moslavačka,SM,3,4470,33486,140549
Splitsko-dalmatinska,SD,0,4542,145045,425412
Varaždinska,VA,2,1259,52406,160264
Virovitičko-podravska,VP,5,2017,13905,70660
Vukovarsko-srijemska,VS,1,2447,27847,144438
Zadarska,ZD,4,3602,46466,160340
Zagrebačka,ZG,0,3061,86276,301206
