Region,Colour,Population,Number of Farms
Carlow,#d95f02,56932,1795
Cavan,#d95f02,76176,5272
Clare,#e6ab02,118817,6548
Cork,#66a61e,542868,14192
Donegal,#7570b3,159192,9222
Dublin,#d95f02,1347359,785
Galway,#7570b3,258058,13434
Kerry,#1b9e77,147707,8406
Kildare,#e6ab02,222504,2561
Kilkenny,#7570b3,99232,3725
Laoighis,#66a61e,84697,3306
Leitrim,#e6ab02,32044,3671
Limerick,#d95f02,194899,5981
Longford,#66a61e,40873,2599
Louth,#e6ab02,128884,1666
Mayo,#66a61e,130507,12447
Meath,#7570b3,195044,4544
Monaghan,#66a61e,61386,4544
Offaly,#d95f02,77961,3456
Roscommon,#1b9e77,64544,6305
Sligo,#e7298a,65535,4391
Tipperary,#e7298a,159553,7720
Waterford,#1b9e77,116176,2751
Westmeath,#e7298a,88770,3447
Wexford,#e6ab02,149722,4409
Wicklow,#e7298a,142425,2379
