Region,Colour,Population,GDP
Auckland,#e6ab02,1590261,75703310440
Bay of Plenty,#d95f02,313380,11095661456
Canterbury,#e6ab02,614628,24859899718
Gisborne,#1b9e77,47565,1404514108
Hawke's Bay,#e7298a,170448,5688282139
Manawatu-Wanganui,#7570b3,241182,7514150480
Marlborough,#1b9e77,50562,2106771163
Nelson,#e7298a,53082,NA
Northland,#7570b3,181047,5196702201
Otago,#7570b3,239313,8918664588
Southland,#e7298a,101571,4073090914
Taranaki,#d95f02,118215,5688282139
Tasman,#7570b3,55206,3651736682
Waikato,#1b9e77,466110,16783943595
Wellington,#66a61e,514752,26053736710
West Coast,#d95f02,35202,1123611287
