Province/Region,Colour,Population,Population (1990) (People)
Abra,#1b9e77,241160,184743
Agusan del Norte,#1b9e77,691566,465458
Agusan del Sur,#e7298a,700653,420763
Aklan,#d95f02,574823,380497
Albay,#d95f02,1314826,903785
Antique,#e7298a,582012,406361
Apayao,#e6ab02,119184,74720
Aurora,#e7298a,214336,139573
Basilan,#d95f02,346579,179230
Bataan,#1b9e77,760650,425803
Batanes,#e7298a,17246,15026
Batangas,#7570b3,2694335,1476783
Benguet,#7570b3,791590,485857
Biliran,#66a61e,171612,118012
Bohol,#66a61e,1313560,948403
Bukidnon,#7570b3,1415226,843891
Bulacan,#66a61e,3292071,1505219
Cagayan,#1b9e77,1199320,829867
Camarines Norte,#e7298a,583313,390982
Camarines Sur,#7570b3,1952544,1305919
Camiguin,#e7298a,88478,64247
Capiz,#e6ab02,761384,584091
Catanduanes,#e7298a,260964,187000
Cavite,#e7298a,3678301,1152534
Cebu,#e6ab02,4632359,2646517
Compostela Valley,#d95f02,736107,466286
Davao del Norte,#e6ab02,1016332,590015
Davao del Sur,#1b9e77,2265579,1482745
Davao Occidental,#d95f02,NA,NA
Davao Oriental,#e6ab02,558958,394697
Dinagat Islands,#e6ab02,127152,98865
Eastern Samar,#e7298a,467160,329335
Guimaras,#7570b3,174613,117990
Ifugao,#d95f02,202802,147281
Ilocos Norte,#66a61e,593081,461661
Ilocos Sur,#d95f02,689668,519966
Iloilo,#66a61e,2384415,1647486
Isabela,#7570b3,1593566,1080341
Kalinga,#e7298a,212680,137055
La Union,#1b9e77,786653,548742
Laguna,#66a61e,3035081,1370232
Lanao del Norte,#1b9e77,1019013,614092
Lanao del Sur,#e6ab02,1045429,599982
Leyte,#d95f02,1966768,1367816
Maguindanao,#1b9e77,1473371,757739
Marinduque,#e7298a,234521,185524
Masbate,#1b9e77,892393,599355
Metropolitan Manila,#7570b3,12877253,7948392
Misamis Occidental,#e6ab02,602126,424365
Misamis Oriental,#d95f02,1564459,865051
Mountain Province,#e6ab02,154590,116535
Negros Occidental,#e7298a,3059136,2256908
Negros Oriental,#66a61e,1354995,925272
North Cotabato,#66a61e,1379747,763995
Northern Samar,#7570b3,632379,383654
Nueva Ecija,#e6ab02,2151461,1312680
Nueva Vizcaya,#1b9e77,452287,301179
Occidental Mindoro,#e6ab02,487414,282593
Oriental Mindoro,#1b9e77,844059,550049
Palawan,#d95f02,1104585,528287
Pampanga,#d95f02,2609744,1532615
Pangasinan,#d95f02,2956726,2020273
Quezon,#d95f02,2122830,1372455
Quirino,#66a61e,188991,114132
Rizal,#e6ab02,2884227,977448
Romblon,#7570b3,292781,227621
Samar,#e6ab02,780481,533733
Sarangani,#66a61e,544261,283141
Siquijor,#7570b3,95984,73932
Sorsogon,#e6ab02,792949,522960
South Cotabato,#e7298a,1509735,789847
Southern Leyte,#66a61e,421750,321940
Sultan Kudarat,#7570b3,812095,435905
Sulu,#66a61e,824731,469971
Surigao del Norte,#7570b3,485088,327113
Surigao del Sur,#66a61e,592250,452098
Tarlac,#e7298a,1366027,859708
Tawi-Tawi,#d95f02,390715,228204
Zambales,#7570b3,823888,562992
Zamboanga del Norte,#66a61e,1011393,676862
Zamboanga del Sur,#e7298a,1872473,1138086
Zamboanga Sibugay,#1b9e77,633129,407038
