District,Colour,Population,Population (1940) (People)
Aveiro,#d95f02,695702,429870
Beja,#d95f02,141178,275441
Braga,#7570b3,828650,482914
Braganca,#7570b3,124571,213233
Castelo Branco,#e7298a,179038,299670
Coimbra,#7570b3,405267,411677
Evora,#66a61e,152865,207952
Faro,#1b9e77,438864,317628
Guarda,#66a61e,144354,294166
Leiria,#1b9e77,454592,353675
Lisboa,#e7298a,2271772,1070103
Portalegre,#e6ab02,105479,186373
Porto,#e7298a,1778146,938288
Santarem,#d95f02,429719,421996
Setubal,#e6ab02,852328,268884
Viana do Castelo,#66a61e,230954,258596
Vila Real,#1b9e77,191894,289114
Viseu,#e6ab02,354453,465563
