County,Colour,Population,Population (1948) (People)
Alba,#66a61e,325358,361062
Arad,#1b9e77,417247,476207
Arges,#d95f02,579796,448964
Bacau,#e7298a,584567,414996
Bihor,#d95f02,561194,536323
Bistrita-Nasaud,#66a61e,278705,233650
Botosani,#66a61e,379484,385236
Braila,#1b9e77,289442,271251
Brasov,#1b9e77,551919,300836
Bucharest,#e6ab02,1828018,1025180
Buzau,#e7298a,413584,430225
Calarasi,#e7298a,284173,287722
Caras-Severin,#66a61e,271129,302254
Cluj,#7570b3,706859,520073
Constanta,#7570b3,673455,311062
Covasna,#7570b3,202077,157166
Dambovita,#7570b3,491146,409272
Dolj,#d95f02,625256,615301
Galati,#d95f02,503881,341797
Giurgiu,#e6ab02,266109,313793
Gorj,#e7298a,315478,280524
Harghita,#66a61e,302257,258495
Hunedoara,#e6ab02,383492,306955
Ialomita,#d95f02,255879,244750
Iasi,#7570b3,792588,431586
Ilfov,#66a61e,485194,167533
Maramures,#1b9e77,460469,321287
Mehedinti,#1b9e77,241258,304788
Mures,#e7298a,535018,461403
Neamt,#e6ab02,441656,357348
Olt,#66a61e,394250,442442
Prahova,#e6ab02,717842,557776
Salaj,#e7298a,211641,262580
Satu Mare,#7570b3,332366,312672
Sibiu,#e6ab02,400882,335116
Suceava,#d95f02,624246,439751
Teleorman,#1b9e77,334012,487394
Timis,#d95f02,704871,588936
Tulcea,#e7298a,194371,192228
Valcea,#7570b3,349993,341590
Vaslui,#1b9e77,373487,344917
Vrancea,#e6ab02,320507,290183
