Planning Area,Colour,Population,Population (2010) (People)
Ang Mo Kio,#a6761d,163950,179297
Bedok,#66a61e,279380,294519
Bishan,#7570b3,88010,91298
Boon Lay,#e6ab02,40,NA
Bukit Batok,#1b9e77,153740,144198
Bukit Merah,#d95f02,151980,157122
Bukit Panjang,#e6ab02,139280,128734
Bukit Timah,#7570b3,77430,70314
Central Water Catchment,#d95f02,NA,NA
Changi,#e6ab02,1830,2155
Changi Bay,#66a61e,NA,NA
Choa Chu Kang,#d95f02,190890,173291
Clementi,#66a61e,92420,91874
Downtown Core,#1b9e77,2720,3722
Geylang,#e6ab02,110200,120690
Hougang,#e7298a,226240,216697
Jurong East,#d95f02,79240,88118
Jurong West,#7570b3,264860,179297
Kallang,#e7298a,101520,2155
Lim Chu Kang,#a6761d,110,NA
Mandai,#7570b3,2090,1865
Marina East,#66a61e,NA,47318
Marina South,#e7298a,NA,NA
Marine Parade,#a6761d,46390,NA
Museum,#66a61e,450,NA
Newton,#e6ab02,8030,6242
North-eastern Islands,#e6ab02,50,NA
Novena,#1b9e77,49210,46640
Orchard,#7570b3,920,NA
Outram,#66a61e,18960,19859
Pasir Ris,#1b9e77,148020,133863
Paya Lebar,#a6761d,40,NA
Pioneer,#e7298a,80,NA
Punggol,#d95f02,170560,59386
Queenstown,#1b9e77,96340,98502
River Valley,#e6ab02,10250,8206
Rochor,#d95f02,13340,15664
Seletar,#1b9e77,280,NA
Sembawang,#e7298a,95920,72732
Sengkang,#7570b3,244600,167054
Serangoon,#66a61e,116310,124782
Simpang,#1b9e77,NA,NA
Singapore River,#a6761d,3070,2000
Southern Islands,#7570b3,1880,NA
Straits View,#7570b3,NA,NA
Sungei Kadut,#e7298a,780,NA
Tampines,#d95f02,256730,261743
Tanglin,#66a61e,21630,17293
Tengah,#e7298a,10,NA
Toa Payoh,#a6761d,120650,124653
Tuas,#d95f02,80,NA
Western Islands,#e7298a,10,NA
Western Water Catchment,#1b9e77,690,NA
Woodlands,#a6761d,254730,245109
Yishun,#e6ab02,220320,185214
