Region,RegionLabel,ColorGroup,Geographic Area (sq. km),GDP (billion chf),Population (people)
Glarus,AG,4,686,2891.24057,40147
Luzern,AR,4,1494,28304.31765,403397
Bern,AI,0,5959,82365.69844,1026513
Aargau,BS,1,1404,44509.24537,663462
Basel-Landschaft,BL,0,517,20816.19197,285624
Zug,BE,0,239,20308.51413,123948
Obwalden,FR,3,491,2630.1019,37378
Nidwalden,GE,2,276,3025.56778,42556
Grisons,GL,5,7104,14937.00048,197550
Appenzell Ausserrhoden,GR,4,243,3254.50915,54954
Appenzell Innerrhoden,JU,5,172,1046.87968,16003
Valais/Wallis,LU,2,5212,19819.03323,339176
Sankt Gallen,NE,3,1981,38961.85693,502552
Ticino,NW,0,2812,30990.05371,354375
Schwyz,OW,5,908,9954.6804,155863
Zurich,SG,2,1728,155290.7418,1487969
Thurgau,SH,1,864,17358.08306,270709
Uri,SZ,1,1077,2000.81065,36145
Schaffhausen,SO,3,298,7293.68099,80769
Jura,TG,5,839,5098.25717,73122
Fribourg,TI,2,1669,19459.65648,311914
Basel-City,UR,1,37,38316.71638,193070
Solothurn,VS,3,791,18620.63281,269441
Geneva,VD,0,246,54591.22122,489524
Neuchâtel,ZG,4,804,16398.4668,178567
Vaud,ZH,1,2916,58635.43105,784822
