Region,RegionLabel,ColorGroup,Inset,Geographic Area (sq. km),Population (people),Population Density (per sq. km)
Alabama,AL,4,,133885,5024279,38.30327588
Alaska,AK,1,L,1522301,733391,0.496220786
Arizona,AZ,5,,295252,7151502,24.30772211
Arkansas,AR,5,,137725,3011524,22.34548976
California,CA,2,,409858,39538223,97.99641853
Colorado,CO,2,,269604,5773714,21.5091178
Connecticut,CT,2,,12920,3605944,287.5094881
Delaware,DE,4,,5207,989948,196.1458292
District of Columbia,DC,0,,176,689545,4364.208861
Florida,FL,5,,150875,21538187,155.0770554
Georgia,GA,0,,152592,10711908,71.91178781
Hawaii,HI,5,B,16732,1455271,87.48247671
Idaho,ID,5,,216457,1839106,8.592146511
Illinois,IL,4,,145918,12812508,89.10383677
Indiana,IN,2,,93727,6785528,73.12858205
Iowa,IA,2,,145737,3190369,22.05288624
Kansas,KS,1,,213099,2937880,13.87402363
Kentucky,KY,3,,104661,4505836,44.0586688
Louisiana,LA,3,,122084,4657757,41.62502458
Maine,ME,1,,84747,1362359,17.0544296
Maryland,MD,3,,26626,6177224,245.6934214
Massachusetts,MA,0,,21218,7029917,347.9812395
Michigan,MI,1,,150996,10077331,68.8177758
Minnesota,MN,1,,218562,5706494,27.67026456
Mississippi,MS,2,,123494,2961279,24.36644971
Missouri,MO,0,,180553,6154913,34.57039429
Montana,MT,4,,380829,1084225,2.876218293
Nebraska,NE,5,,200339,1961504,9.858092012
Nevada,NV,4,,286362,3104614,10.918975
New Hampshire,NH,5,,24041,1377529,59.40953983
New Jersey,NJ,5,,20152,9288994,487.6880349
New Mexico,NM,3,,314901,2117522,6.740244652
New York,NY,1,,126982,20201249,165.5066813
North Carolina,NC,2,,128571,10439388,82.90492376
North Dakota,ND,2,,183123,779094,4.359519
Ohio,OH,0,,106860,11799448,111.4954124
Oklahoma,OK,4,,181028,3959353,22.28612518
Oregon,OR,3,,251338,4237256,17.04392457
Pennsylvania,PA,2,,117339,13002700,112.2054141
Rhode Island,RI,3,,2835,1097379,409.7755788
South Carolina,SC,3,,80576,5118425,65.74135916
South Dakota,SD,3,,199728,886667,4.51574739
Tennessee,TN,1,,109153,6910840,64.70945149
Texas,TX,1,,687733,29145505,43.07724653
Utah,UT,1,,219895,3271616,15.372835
Vermont,VT,4,,24906,643077,26.93967576
Virginia,VA,5,,104853,8631393,84.39066671
Washington,WA,0,,175401,7705281,44.76717271
West Virginia,WV,4,,62750,1793716,28.81054948
Wisconsin,WI,5,,145332,5893718,42.01755211
Wyoming,WY,0,,253313,576851,2.293915775
