State,Colour,Population,Electoral Votes (votes)
Alabama,#7570b3,4780127,9
Arizona,#e7298a,6392307,11
Arkansas,#7570b3,2915958,6
California,#66a61e,37252895,55
Colorado,#7570b3,5029324,9
Connecticut,#d95f02,3574118,7
Delaware,#e7298a,897936,3
District of Columbia,#1b9e77,601767,3
Florida,#1b9e77,18804623,29
Georgia,#66a61e,9688681,16
Idaho,#1b9e77,1567652,4
Illinois,#7570b3,12831549,20
Indiana,#e6ab02,6484229,11
Iowa,#d95f02,3046869,6
Kansas,#66a61e,2853132,6
Kentucky,#e7298a,4339349,8
Louisiana,#e6ab02,4533479,8
Maine,#66a61e,1328361,4
Maryland,#d95f02,5773785,10
Massachusetts,#1b9e77,6547817,11
Michigan,#d95f02,9884129,16
Minnesota,#7570b3,5303925,10
Mississippi,#66a61e,2968103,6
Missouri,#1b9e77,5988927,10
Montana,#d95f02,989417,3
Nebraska,#e7298a,1826341,5
Nevada,#e6ab02,2700691,6
New Hampshire,#7570b3,1316466,4
New Jersey,#1b9e77,8791936,14
New Mexico,#e6ab02,2059192,5
New York,#e7298a,19378087,29
North Carolina,#1b9e77,9535692,15
North Dakota,#e6ab02,672591,3
Ohio,#66a61e,11536725,18
Oklahoma,#d95f02,3751616,7
Oregon,#e7298a,3831073,7
Pennsylvania,#7570b3,12702887,20
Rhode Island,#e7298a,1052931,4
South Carolina,#e6ab02,4625401,9
South Dakota,#66a61e,814191,3
Tennessee,#d95f02,6346275,11
Texas,#e7298a,25146105,38
Utah,#66a61e,2763888,6
Vermont,#d95f02,625745,3
Virginia,#e6ab02,8001045,13
Washington,#7570b3,6724543,12
West Virginia,#1b9e77,1853011,5
Wisconsin,#1b9e77,5687289,10
Wyoming,#e6ab02,563767,3
